NO,food,ENERC_KCAL,PROT-,FAT-,CHOAVLDF-,K,CA,MG,P,FE,ZN,CU,VITA_RAE,VITD,TOCPHA,VITK ,THIA,RIBF,NE,VITB6A,VITB12,FOL,PANTAC,VITC,FIB-,NACL_EQ
0,アマランサス　玄穀,343,12.7,6,59.9,600,160,270,540,9.4,5.8,0.92,0,0,1.3,0,0.04,0.14,3.8,0.58,0,130,1.69,0,7.4,0
1,あわ　精白粒,346,11.2,4.4,67.6,300,14,110,280,4.8,2.5,0.49,0,0,0.6,0,0.56,0.07,6.4,0.18,0,29,1.83,0,3.3,0
2,あわ　あわもち,210,5.1,1.3,44.6,62,5,12,39,0.7,1.1,0.2,0,0,0.1,0,0.08,0.01,1.7,0.03,0,7,0.61,0,1.5,0
3,えんばく　オートミール,350,13.7,5.7,61.8,260,47,100,370,3.9,2.1,0.28,0,0,0.6,0,0.2,0.08,4.5,0.11,0,30,1.29,0,9.4,0
4,おおむぎ　七分つき押麦,343,10.9,2.1,63.3,220,23,46,180,1.3,1.4,0.32,0,0,0.2,0,0.22,0.07,5.8,0.14,0,17,0.43,0,10.3,0
5,おおむぎ　押麦　乾,329,6.7,1.5,67.2,210,21,40,160,1.1,1.1,0.22,0,0,0.1,0,0.11,0.03,5,0.13,0,10,0.4,0,12.2,0
6,おおむぎ　押麦　めし,118,2.2,0.5,24.6,38,6,10,46,0.4,0.4,0.08,0,0,0,0,0.02,0,1.3,0.03,0,3,0.13,0,4.2,0
7,おおむぎ　米粒麦,333,7,2.1,68.6,170,17,25,140,1.2,1.2,0.37,0,0,0.1,0,0.19,0.05,4,0.19,0,10,0.64,0,8.7,0
8,おおむぎ　大麦めん　乾,343,12.9,1.7,63.2,240,27,63,200,2.1,1.5,0.33,0,0,0,0,0.21,0.04,6.3,0.09,0,19,0.64,0,6.3,2.8
9,おおむぎ　大麦めん　ゆで,121,4.8,0.6,22.3,10,12,18,61,0.9,0.6,0.13,0,0,0,0,0.04,0.01,2,0.01,0,5,0.26,0,2.5,0.2
10,おおむぎ　麦こがし,368,12.5,5,63.8,490,43,130,340,3.1,3.8,0.41,0,0,0.5,0,0.09,0.1,11,0.09,0,24,0.28,0,15.5,0
11,キヌア　玄穀,344,13.4,3.2,67.1,580,46,180,410,4.3,2.8,0.47,1,0,2.6,0,0.45,0.24,4,0.39,0,190,0.95,0,6.2,0.1
12,きび　精白粒,353,11.3,3.3,70.9,200,9,84,160,2.1,2.7,0.38,0,0,0,0,0.34,0.09,6.2,0.2,0,13,0.95,0,1.6,0
13,こむぎ　［玄穀］　国産　普通,329,10.8,3.1,59.8,440,26,82,350,3.2,2.6,0.38,0,0,1.2,0,0.41,0.09,8.9,0.35,0,38,1.03,0,14,0
14,こむぎ　［玄穀］　輸入　軟質,344,10.1,3.3,64.6,390,36,110,290,2.9,1.7,0.32,0,0,1.2,0,0.49,0.09,6.7,0.34,0,40,1.07,0,11.2,0
15,こむぎ　［玄穀］　輸入　硬質,332,13,3,58.5,340,26,140,320,3.2,3.1,0.43,0,0,1.2,0,0.35,0.09,8,0.34,0,49,1.29,0,11.4,0
16,こむぎ　［小麦粉］　薄力粉　1等,349,8.3,1.5,74.1,110,20,12,60,0.5,0.3,0.08,0,0,0.3,0,0.11,0.03,2.4,0.03,0,9,0.53,0,2.5,0
17,こむぎ　［小麦粉］　薄力粉　2等,345,9.3,1.9,72.9,130,23,30,77,0.9,0.7,0.18,0,0,1,0,0.21,0.04,2.9,0.09,0,14,0.62,0,2.6,0
18,こむぎ　［小麦粉］　中力粉　1等,337,9,1.6,73.2,100,17,18,64,0.5,0.5,0.11,0,0,0.3,0,0.1,0.03,2.4,0.05,0,8,0.47,0,2.8,0
19,こむぎ　［小麦粉］　中力粉　2等,346,9.7,1.8,73,110,24,26,80,1.1,0.6,0.14,0,0,0.8,0,0.22,0.04,3.1,0.07,0,12,0.66,0,2.1,0
20,こむぎ　［小麦粉］　強力粉　1等,337,11.8,1.5,70.1,89,17,23,64,0.9,0.8,0.15,0,0,0.3,0,0.09,0.04,3.1,0.06,0,16,0.77,0,2.7,0
21,こむぎ　［小麦粉］　強力粉　2等,343,12.6,1.7,69.5,86,21,36,86,1,1,0.19,0,0,0.5,0,0.13,0.04,3.6,0.08,0,18,0.93,0,2.1,0
22,こむぎ　［小麦粉］　強力粉　全粒粉,320,12.8,2.9,58.6,330,26,140,310,3.1,3,0.42,0,0,1,0,0.34,0.09,8.5,0.33,0,48,1.27,0,11.2,0
23,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,335,10.1,1.9,72.7,210,64,31,320,1,0.7,0.13,1,0.1,0.6,1,0.21,0.03,3.3,0.07,0.1,17,0.41,0,2.8,3.7
24,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,360,7.8,4,74.2,230,100,12,170,0.5,0.3,0.07,9,0.1,0.5,1,0.1,0.08,2.2,0.04,0.1,10,0.48,0,1.8,1
25,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,311,10.2,1.2,68.6,280,110,39,130,1.2,0.7,0.1,5,0,0.3,2,0.15,0.07,2.8,0.12,0,26,0.33,0,2.6,9.7
26,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,337,8.8,1.3,74.6,160,140,19,120,0.6,0.5,0.12,1,0,0.3,0,0.12,0.99,2.7,0.06,0,12,0.35,0,2.5,0.5
27,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,136,3.3,0.5,29.6,67,84,6,51,0.2,0.1,0.04,3,0,0.1,0,0.04,0.16,1,0.02,0,3,0.19,0,1,0.2
28,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,588,4.3,47.7,34.3,93,100,8,63,0.3,0.1,0.04,0,0,7.6,81,0.05,0.14,1.3,0.03,0,4,0.21,0,3.3,0.2
29,こむぎ　［パン類］　角形食パン　食パン,248,8.9,4.1,44.1,86,22,18,67,0.5,0.5,0.09,0,0,0.4,0,0.07,0.05,2.6,0.03,0,30,0.42,0,4.2,1.2
30,こむぎ　［パン類］　角形食パン　焼き,269,9.7,4.5,47.9,93,26,20,77,0.5,0.6,0.1,0,0,0.4,0,0.07,0.05,2.9,0.03,0,30,0.45,0,4.6,1.3
31,こむぎ　［パン類］　角形食パン　耳を除いたもの,226,8.2,3.7,40.4,78,20,16,61,0.4,0.4,0.08,0,0,0.3,0,0.06,0.05,2.5,0.04,0,17,0.3,0,3.8,1.1
32,こむぎ　［パン類］　角形食パン　耳,273,9.7,4.5,46.1,92,23,18,73,0.5,0.6,0.1,1,0,0.4,0,0.06,0.06,2.7,0.05,0,27,0.37,0,4.7,1.3
33,こむぎ　［パン類］　食パン　リーンタイプ,246,8,3.7,46.4,67,12,16,46,0.6,0.6,0.1,0,0.3,0.4,0,0.1,0.05,1.9,0.04,0,28,0.54,0,2,1.3
34,こむぎ　［パン類］　食パン　リッチタイプ,256,7.8,6,44.9,88,25,15,62,0.6,0.7,0.09,28,0.1,0.3,2,0.09,0.09,2.1,0.05,0.1,42,0.51,0,1.7,1.1
35,こむぎ　［パン類］　山形食パン　食パン,246,7.8,3.5,46.8,76,18,16,51,0.6,0.6,0.1,0,0,0.4,0,0.08,0.06,2.1,0.05,0,34,0.54,0,1.8,1.3
36,こむぎ　［パン類］　コッペパン,259,8.5,3.8,48.5,95,37,24,75,1,0.7,0.12,0,0,0.4,0,0.08,0.08,2.2,0.04,0,45,0.63,0,2,1.3
37,こむぎ　［パン類］　乾パン,386,9.5,4.4,76.8,160,30,27,95,1.2,0.6,0.18,0,0,1.1,0,0.14,0.06,2.8,0.06,0,20,0.41,0,3.1,1.2
38,こむぎ　［パン類］　フランスパン,289,9.4,1.3,55.8,110,16,22,72,0.9,0.8,0.14,0,0,0.1,0,0.08,0.05,2.9,0.04,0,33,0.45,0,2.7,1.6
39,こむぎ　［パン類］　ライ麦パン,252,8.4,2.2,49,190,16,40,130,1.4,1.3,0.18,0,0,0.3,0,0.16,0.06,2.7,0.09,0,34,0.46,0,5.6,1.2
40,こむぎ　［パン類］　全粒粉パン,251,7.9,5.7,41.9,140,14,51,120,1.3,0.4,0.18,0,0,0.8,0,0.17,0.07,3.7,0.13,0,49,0.67,0,4.5,1
41,こむぎ　［パン類］　ぶどうパン,263,8.2,3.5,50,210,32,23,86,0.9,0.6,0.15,0,0,0.4,0,0.11,0.05,2.8,0.07,0,33,0.42,0,2.2,1
42,こむぎ　［パン類］　ロールパン,309,10.1,9,48.6,110,44,22,97,0.7,0.8,0.12,1,0.1,0.5,0,0.1,0.06,3.1,0.03,0,38,0.61,0,2,1.2
43,こむぎ　［パン類］　クロワッサン　レギュラータイプ,406,6.5,20.4,51.2,110,27,14,65,0.4,0.5,0.08,31,1.4,2.6,7,0.11,0.09,2,0.05,0.1,46,0.42,0,1.9,1.3
44,こむぎ　［パン類］　クロワッサン　リッチタイプ,438,7.9,26.8,44.2,90,21,17,67,0.6,0.6,0.1,6,0.1,1.9,0,0.08,0.03,2.6,0.03,0,33,0.44,0,1.8,1.2
45,こむぎ　［パン類］　くるみパン,292,8.2,12.6,37,150,35,33,88,0.8,0.9,0.23,11,0.1,0.4,2,0.11,0.09,2.2,0.11,0,45,0.55,0,2.4,0.8
46,こむぎ　［パン類］　イングリッシュマフィン,224,8.1,3.6,40.6,84,53,19,96,0.9,0.8,0.12,0,0,0.3,0,0.15,0.08,2.8,0.05,0,23,0.32,0,1.2,1.2
47,こむぎ　［パン類］　ナン,257,10.3,3.4,46.7,97,11,22,77,0.8,0.7,0.11,0,0,0.6,0,0.13,0.06,3.4,0.05,0,36,0.55,0,2,1.3
48,こむぎ　［パン類］　ベーグル,270,9.6,2,53.6,97,24,24,81,1.3,0.7,0.11,0,0,0.2,0,0.19,0.08,3.7,0.06,0,47,0.28,0,2.5,1.2
49,こむぎ　［うどん・そうめん類］　うどん　生,249,6.1,0.6,54.2,90,18,13,49,0.3,0.3,0.08,0,0,0.2,0,0.09,0.03,1.7,0.03,0,5,0.36,0,3.6,2.5
50,こむぎ　［うどん・そうめん類］　うどん　ゆで,95,2.6,0.4,20.7,9,6,6,18,0.2,0.1,0.04,0,0,0.1,0,0.02,0.01,0.7,0.01,0,2,0.13,0,1.3,0.3
51,こむぎ　［うどん・そうめん類］　うどん　半生うどん,296,7.8,3.4,60,98,22,15,64,0.6,0.3,0.09,0,0,0.2,0,0.1,0.03,2.1,0.03,0,6,0.41,0,4.1,3
52,こむぎ　［うどん・そうめん類］　干しうどん　乾,333,8.5,1.1,70.2,130,17,19,70,0.6,0.4,0.11,0,0,0.3,0,0.08,0.02,2.5,0.04,0,9,0.45,0,2.4,4.3
53,こむぎ　［うどん・そうめん類］　干しうどん　ゆで,117,3.1,0.5,25.4,14,7,4,24,0.2,0.1,0.04,0,0,0.1,0,0.02,0.01,0.8,0.01,0,2,0.14,0,0.7,0.5
54,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,333,9.5,1.1,71,120,17,22,70,0.6,0.4,0.12,0,0,0.3,0,0.08,0.02,2.8,0.03,0,8,0.7,0,2.5,3.8
55,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,114,3.5,0.4,25.1,5,6,5,24,0.2,0.2,0.05,0,0,0.1,0,0.02,0.01,0.9,0,0,2,0.25,0,0.9,0.2
56,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,312,9.3,1.5,67.9,110,20,23,70,0.6,0.4,0.14,0,0,0.1,0,0.06,0.02,2.7,0.03,0,10,0.52,0,1.8,5.8
57,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,119,3.5,0.6,24.9,5,6,4,23,0.2,0.1,0.05,0,0,0,0,0.03,0.01,0.9,0,0,2,0.16,0,1,0.3
58,こむぎ　［中華めん類］　中華めん　生,249,8.6,1.2,50.4,350,21,13,66,0.5,0.4,0.09,0,0,0.2,0,0.02,0.02,2.3,0.02,0,8,0.55,0,5.4,1
59,こむぎ　［中華めん類］　中華めん　ゆで,133,4.9,0.6,26.5,60,20,7,29,0.3,0.2,0.05,0,0,0.1,0,0.01,0.01,1.2,0,0,3,0.25,0,2.8,0.2
60,こむぎ　［中華めん類］　半生中華めん　,305,9.9,4,55.4,430,21,15,72,0.7,0.4,0.1,0,0,0,0,0.07,0.03,2.6,0.02,0,9,0.63,0,6.2,1.2
61,こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,162,4.9,1.7,32.5,80,10,9,40,0.4,0.2,0.06,0,0,0.1,0,0,0.16,1.4,0.02,0,4,0.19,0,3.1,0.3
62,こむぎ　［中華めん類］　蒸し中華めん  ソテー,211,5.2,4.9,35.8,87,10,10,43,0.4,0.2,0.06,0,0,0.1,0,0,0,1.5,0.02,0,4,0.21,0,3.6,0.3
63,こむぎ　［中華めん類］　干し中華めん　乾,337,11.7,1.6,64.5,300,21,23,82,1.1,0.5,0.15,0,0,0.2,0,0.02,0.03,3.1,0.05,0,11,0.76,0,6,1
64,こむぎ　［中華めん類］　干し中華めん　ゆで,132,4.9,0.5,25.1,42,13,10,29,0.4,0.2,0.05,0,0,0,0,0,0,1.1,0.01,0,3,0.25,0,2.6,0.2
65,こむぎ　［中華めん類］　沖縄そば　生,266,9.2,2,52.5,340,11,50,65,0.7,1.1,0.18,0,0,0.3,0,0.02,0.04,2.6,0.11,0,15,0.63,0,2.1,2.1
66,こむぎ　［中華めん類］　沖縄そば　ゆで,132,5.2,0.8,26.7,80,9,28,28,0.4,0.6,0.1,0,0,0.2,0,0.01,0.02,1.2,0.03,0,6,0.23,0,1.5,0.4
67,こむぎ　［中華めん類］　干し沖縄そば　乾,317,12,1.7,66.1,130,23,22,100,1.5,0.4,0.11,0,0,0.1,0,0.12,0.05,3.5,0.05,0,8,0.49,0,2.1,4.3
68,こむぎ　［中華めん類］　干し沖縄そば　ゆで,132,5.2,0.6,27.2,10,11,8,36,0.5,0.1,0.05,0,0,0,0,0.02,0.02,1.2,0.01,0,3,0.18,0,1.5,0.5
69,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,424,10.1,16.7,62.5,260,430,29,110,1,0.5,0.13,0,0,3.1,1,1.46,1.67,2.5,0.06,0,12,0.41,0,2.5,6.4
70,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,439,10.1,19.1,59.5,150,230,25,110,0.9,0.5,0.16,1,0,2.2,3,0.55,0.83,2.6,0.05,0,10,0.44,0,2.4,5.6
71,こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,100,2.3,4.4,12.8,33,28,6,20,0.2,0.1,0.03,0,0,0.5,1,0.02,0.13,0.6,0.01,0,2,0.1,0,0.5,1.1
72,こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,189,3.9,7.7,26.4,34,95,8,40,0.2,0.2,0.05,0,0,0.8,0,0.05,0.06,1.1,0.01,0,3,0.11,0,2.6,0.4
73,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,461,8.9,19.6,60.7,150,220,20,97,0.6,0.4,0.09,0,0,2.2,1,0.16,0.19,2.8,0.05,0,9,0.26,0,5.5,1.5
74,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,336,10.3,5.2,65.1,260,110,25,110,0.8,0.4,0.11,1,0,1.3,3,0.21,0.04,2.7,0.05,0,14,0.37,0,2.3,6.9
75,こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,93,3,0.8,18,68,6,6,26,0.2,0.1,0.03,0,0,0.2,1,0.01,0.01,0.7,0.01,0,4,0.1,0,0.6,1.1
76,こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,139,3.4,0.8,28.7,64,94,8,46,0.2,0.2,0.04,3,0,0.7,0,0,0,1.1,0.01,0,3,0.12,0,2.7,0.6
77,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,337,8.5,1.9,69.4,310,230,21,130,0.6,0.4,0.08,5,0,1.7,0,0.01,0.01,2.8,0.05,0,8,0.34,0,6.5,3
78,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,422,10.9,18.5,54.7,190,190,25,110,0.7,0.5,0.09,26,0.2,3.1,17,0.9,0.61,2.9,0.07,0.1,16,0.3,2,5.8,5.8
79,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,92,2.5,4.2,11.2,43,43,6,24,0.2,0.1,0.02,6,0,0.7,4,0.2,0.14,0.7,0.02,0,4,0.07,1,1.3,1.3
80,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,175,3.8,7.7,24,37,76,7,34,0.3,0.2,0.04,6,0,1.2,1,0.19,0.14,0.9,0.02,0,4,0.1,0,2.2,1.1
81,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,417,10,19.1,50.5,180,200,26,110,0.8,0.5,0.07,12,0,2.7,10,0.61,0.52,2.7,0.06,0.1,14,0.2,2,6.1,6.3
82,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,90,2.3,4.5,9.8,43,46,6,27,0.2,0.1,0.02,3,0,0.6,2,0.14,0.12,0.6,0.01,0,3,0.05,1,1.4,1.5
83,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,142,3,5.8,19.4,33,74,6,28,0.2,0.1,0.04,1,0,0.9,1,0.15,0.14,0.8,0.01,0,3,0.07,0,1.9,1.1
84,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,401,8.2,18.6,56.1,180,180,27,89,1,0.4,0.12,4,0,3.1,14,0.48,0.66,2.1,0.06,0,13,0.38,1,5.7,3.8
85,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,222,5,11.3,25.8,100,94,14,54,0.4,0.3,0.06,2,0,1.8,11,0.28,0.3,1.4,0.04,0,9,0.15,2,3.3,2.3
86,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,314,9.2,5.8,58,250,48,26,100,1.2,0.4,0.1,12,0,1.1,9,0.16,0.13,2.2,0.07,0,21,0.35,1,6.4,7.1
87,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,66,2.5,2.1,9.2,77,44,7,34,0.2,0.1,0.02,3,0,0.3,3,0.1,0.1,0.7,0.02,0,4,0.08,2,1.5,1.4
88,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,121,3.4,1.3,23.5,53,76,7,42,0.3,0.1,0.03,0,0,0.3,1,0.05,0.06,0.8,0.01,0,3,0.07,0,2.5,1
89,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,439,10.9,19.8,51.9,150,170,26,160,1.3,0.5,0.11,4,0,2.6,5,0.11,0.05,2.9,0.05,0.2,12,0.25,1,6,6.7
90,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,91,2.2,4.7,10.3,34,41,6,38,0.2,0.1,0.02,0,0,0.6,1,0.19,0.08,0.6,0.01,0,2,0.06,2,1.4,1.4
91,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,163,2.7,7.2,22.6,26,78,6,48,0.2,0.1,0.02,0,0,1,1,0.15,0.06,0.7,0.01,0,3,0.07,1,2.4,1.1
92,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,347,12.9,1.8,68.9,200,18,55,130,1.4,1.5,0.28,1,0,0.3,0,0.19,0.06,4.9,0.11,0,13,0.65,0,5.4,0
93,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,150,5.8,0.9,29.7,14,8,20,53,0.7,0.7,0.14,0,0,0.1,0,0.06,0.03,1.7,0.02,0,4,0.28,0,3,1.2
94,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,186,5.5,5.8,28.4,13,8,19,50,0.7,0.7,0.13,0,0,0.9,6,0.06,0.03,1.7,0.02,0,4,0.27,0,2.9,1.1
95,こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,232,7.8,1.9,45.9,76,12,18,73,0.5,0.5,0.12,0,0,0.1,0,0.05,0.04,2.6,0.05,0,9,0.27,0,1.5,1.2
96,こむぎ　［ふ類］　生ふ,161,12.7,0.8,26.8,30,13,18,60,1.3,1.8,0.25,0,0,0,0,0.08,0.03,2.9,0.02,0,7,0.12,0,0.5,0
97,こむぎ　［ふ類］　焼きふ　釜焼きふ,357,28.5,2.7,55.2,120,33,43,130,3.3,2.2,0.32,0,0,0.5,0,0.16,0.07,9,0.08,0,16,0.58,0,3.7,0
98,こむぎ　［ふ類］　焼きふ　板ふ,351,25.6,3.3,55.9,220,31,90,220,4.9,2.9,0.49,0,0,0.6,0,0.2,0.08,8.5,0.16,0,22,0.79,0,3.8,0.5
99,こむぎ　［ふ類］　焼きふ　車ふ,361,30.2,3.4,54.4,130,25,53,130,4.2,2.7,0.42,0,0,0.4,0,0.12,0.07,8.7,0.07,0,11,0.47,0,2.6,0.3
100,こむぎ　［ふ類］　油ふ,547,22.7,35.3,34.4,71,19,28,95,1.7,1.4,0.21,0,0,3.9,65,0.07,0.03,5.6,0.06,0.1,17,0.22,0,0,0.1
101,こむぎ　［その他］　小麦はいが,391,32,11.6,40.7,1100,42,310,1100,9.4,16,0.89,5,0,28,2,1.82,0.71,10,1.24,0,390,1.34,0,14.3,0
102,こむぎ　［その他］　小麦たんぱく　粉末状,398,72,9.7,12,90,75,75,180,6.6,5,0.75,1,0,1.1,0,0.03,0.12,17,0.1,0,34,0.61,0,2.4,0.2
103,こむぎ　［その他］　小麦たんぱく　粒状,101,20,2,2.6,3,14,16,54,1.8,1.4,0.22,0,0,0.5,0,0.02,0.01,4.8,0.01,0,5,0,0,0.4,0.1
104,こむぎ　［その他］　小麦たんぱく　ペースト状,145,25,4.1,5.5,39,30,54,160,3,2.4,0.36,1,0,1.7,0,0.2,0.03,7.2,0.04,0,17,0.45,0,0.5,0.6
105,こむぎ　［その他］　かやきせんべい,359,10.6,1.9,75.1,150,19,27,110,0.8,0.6,0.15,0,0,0.3,0,0.17,0.02,3,0.09,0,16,0.39,0,0,2.5
106,こむぎ　［その他］　ぎょうざの皮　生,275,9.3,1.4,55.9,64,16,18,60,0.8,0.6,0.12,0,0,0.2,0,0.08,0.04,2.5,0.06,0,12,0.61,0,2.2,0
107,こむぎ　［その他］　しゅうまいの皮　生,275,8.3,1.4,57.7,72,16,17,60,0.6,0.5,0.1,0,0,0.2,0,0.09,0.04,2.2,0.05,0,9,0.5,0,2.2,0
108,こむぎ　［その他］　春巻きの皮　生,288,8.3,1.6,57.7,77,13,13,54,0.3,0.3,0.09,0,0,0,1,0.03,0.01,2,0.03,0,9,0.18,0,4.5,1.1
109,こむぎ　［その他］　春巻きの皮　揚げ,512,7.2,30.7,49.5,66,11,11,48,0.3,0.3,0.09,0,0,4.9,47,0.02,0.01,1.8,0.02,0,8,0.18,0,4.2,0.9
110,こむぎ　［その他］　ピザ生地,265,9.1,3,49.1,91,13,22,77,0.8,0.6,0.09,0,0,0.3,0,0.15,0.11,2.5,0.05,0,20,0.54,0,2.3,1.3
111,こむぎ　［その他］　ちくわぶ,160,7.1,1.2,30.3,3,8,6,31,0.5,0.2,0.07,0,0,0,0,0.01,0.02,1.7,0.01,0,4,0.25,0,1.5,0
112,こむぎ　［その他］　パン粉　生,277,11,5.1,47,110,25,29,97,1.1,0.7,0.15,0,0,0.3,0,0.11,0.02,3.1,0.05,0,40,0.41,0,3,0.9
113,こむぎ　［その他］　パン粉　半生,315,12.5,5.8,53.5,130,28,34,110,1.2,0.8,0.17,0,0,0.4,0,0.13,0.03,3.5,0.06,0,46,0.47,0,3.5,1
114,こむぎ　［その他］　パン粉　乾燥,369,14.6,6.8,62.5,150,33,39,130,1.4,0.9,0.2,0,0,0.4,0,0.15,0.03,4.1,0.07,0,54,0.54,0,4,1.2
115,こむぎ　［その他］　冷めん　生,249,3.9,0.7,57.1,59,11,12,57,0.3,0.2,0.05,0,0,0,0,0.04,0,1.2,0.02,0,4,0.11,0,1.1,1.3
116,こめ　［水稲穀粒］　玄米,346,6.8,2.7,72.4,230,9,110,290,2.1,1.8,0.27,0,0,1.2,0,0.41,0.04,8,0.45,0,27,1.37,0,3,0
117,こめ　［水稲穀粒］　半つき米,345,6.5,1.8,75.7,150,7,64,210,1.5,1.6,0.24,0,0,0.8,0,0.3,0.03,5.1,0.28,0,18,1,0,1.4,0
118,こめ　［水稲穀粒］　七分つき米,348,6.3,1.5,76.8,120,6,45,180,1.3,1.5,0.23,0,0,0.4,0,0.24,0.03,3.2,0.2,0,15,0.84,0,0.9,0
119,こめ　［水稲穀粒］　精白米　うるち米,342,6.1,0.9,78.1,89,5,23,95,0.8,1.4,0.22,0,0,0.1,0,0.08,0.02,2.6,0.12,0,12,0.66,0,0.5,0
120,こめ　［水稲穀粒］　精白米　もち米,343,6.4,1.2,77.4,97,5,33,100,0.2,1.5,0.22,0,0,0.2,0,0.12,0.02,3.1,0.12,0,12,0.67,0,0.5,0
121,こめ　［水稲穀粒］　精白米　インディカ米,347,7.4,0.9,78.3,68,5,18,90,0.5,1.6,0.2,0,0,0,0,0.06,0.02,2.9,0.08,0,16,0.61,0,0.5,0
122,こめ　［水稲穀粒］　はいが精米,343,6.5,2,74.7,150,7,51,150,0.9,1.6,0.22,0,0,0.9,0,0.23,0.03,4.2,0.22,0,18,1,0,1.3,0
123,こめ　［水稲穀粒］　発芽玄米,339,6.5,3.3,72.6,160,13,120,280,1,1.9,0.23,0,0,1.2,0,0.35,0.02,6.4,0.34,0,18,0.75,0,3.1,0
124,こめ　［水稲穀粒］　赤米,344,8.5,3.3,65.4,290,12,130,350,1.2,2.4,0.27,0,0,1.5,0,0.38,0.05,6.9,0.5,0,30,1.17,0,6.5,0
125,こめ　［水稲穀粒］　黒米,341,7.8,3.2,66.4,270,15,110,310,0.9,1.9,0.22,3,0,1.3,0,0.39,0.1,8.2,0.49,0,49,0.83,0,5.6,0
126,こめ　［水稲めし］　玄米,152,2.8,1,34.7,95,7,49,130,0.6,0.8,0.12,0,0,0.5,0,0.16,0.02,3.6,0.21,0,10,0.65,0,1.4,0
127,こめ　［水稲めし］　半つき米,154,2.7,0.6,36.1,43,4,22,53,0.2,0.7,0.11,0,0,0.2,0,0.08,0.01,2.2,0.07,0,6,0.35,0,0.8,0
128,こめ　［水稲めし］　七分つき米,160,2.6,0.5,36.7,35,4,13,44,0.2,0.7,0.11,0,0,0.1,0,0.06,0.01,1.4,0.03,0,5,0.26,0,0.5,0
129,こめ　［水稲めし］　精白米　インディカ米,184,3.8,0.4,41.9,31,2,8,41,0.2,0.8,0.1,0,0,0,0,0.02,0,1.3,0.02,0,6,0.24,0,0.4,0
130,こめ　［水稲めし］　精白米　うるち米,156,2.5,0.3,36.1,29,3,7,34,0.1,0.6,0.1,0,0,0,0,0.02,0.01,0.8,0.02,0,3,0.25,0,1.5,0
