NO,food,ENERC_KCAL,PROT-,FAT-,CHOAVLDF-,K,CA,MG,P,FE,ZN,CU,VITA_RAE,VITD,TOCPHA,VITK ,THIA,RIBF,NE,VITB6A,VITB12,FOL,PANTAC,VITC,FIB-,NACL_EQ
880,うめ　生,33,0.7,0.5,5.8,240,12,8,14,0.6,0.1,0.05,20,0,3.3,3,0.03,0.05,0.5,0.06,0,8,0.35,6,2.5,0
881,うめ　梅漬　塩漬,27,0.7,0.4,4.4,150,47,32,15,2.9,0.1,0.11,1,0,1.4,9,0.02,0.04,0.4,0.06,0,1,0.2,0,2.7,19.3
882,うめ　梅漬　調味漬,45,1.5,0.5,7.2,100,87,26,17,1.2,0.1,0.07,2,0,0.2,6,0.03,0.03,0.4,0.02,0,2,0.07,0,3.4,6.9
883,うめ　梅干し　塩漬,29,0.9,0.7,1.1,220,33,17,21,1.1,0.1,0.07,1,0,0.2,9,0.02,0.01,0.4,0.04,0,0,0.03,0,3.3,18.2
884,うめ　梅干し　調味漬,90,1.5,0.6,18.8,130,25,15,15,2.4,0.1,0.05,0,0,0.2,10,0.01,0.01,0.4,0.03,0,0,0.04,0,2.5,7.6
885,うめ　梅びしお,196,0.7,0.5,46.9,190,27,11,19,7,0,0.05,0,0,0.1,18,0.03,0.03,0.3,0.02,0,0,0,0,1.3,7.9
886,うめ　果実飲料　20%果汁入り飲料,49,0,0,12.2,30,1,2,2,0.2,0,0.01,0,0,0.1,0,0,0,0,0.01,0,0,0,0,0.1,0.1
887,オリーブ　塩漬　グリーンオリーブ,148,1,15,1.9,47,79,13,8,0.3,0.2,0.17,38,0,5.5,2,0.01,0.02,0,0.03,0,3,0,12,3.3,3.6
888,オリーブ　塩漬　ブラックオリーブ,121,0.8,12.3,1.5,10,68,11,5,0.8,0.2,0.17,0,0,4.6,1,0.05,0.06,0.3,0.02,0,2,0,0,2.5,1.6
889,オリーブ　塩漬　スタッフドオリーブ,141,0.8,14.3,0.7,28,83,13,5,0.3,0.1,0.14,44,0,5.3,2,0.01,0.01,0,0.02,0,1,0,11,3.7,5.1
890,かき　甘がき　生,63,0.4,0.2,14.5,170,9,6,14,0.2,0.1,0.03,35,0,0.1,2,0.03,0.02,0.4,0.06,0,18,0.28,70,1.6,0
891,かき　渋抜きがき　生,59,0.5,0.1,14.3,200,7,6,16,0.1,0,0.02,25,0,0.2,2,0.02,0.02,0.4,0.05,0,20,0.27,55,2.8,0
892,かき　干しがき,274,1.5,1.7,58.7,670,27,26,62,0.6,0.2,0.08,120,0,0.4,10,0.02,0,1,0.13,0,35,0.85,2,14,0
893,かりん　生,58,0.4,0.1,9.4,270,12,12,17,0.3,0.2,0.09,11,0,0.6,0,0.01,0.03,0.4,0.04,0,12,0.31,25,8.9,0
894,（かんきつ類）　いよかん　砂じょう　生,50,0.9,0.1,11.1,190,17,14,18,0.2,0.1,0.04,13,0,0.1,0,0.06,0.03,0.4,0.07,0,19,0.36,35,1.1,0
